AACHEN	Aachen	01-01-1995 00:00:00		848093	121300	O	3	00005	N	 
ABCWM	Abercwmboi	01-01-1995 00:00:00		302700	200200	O	5	78128	N	 
ABDAPEN	Penywaun	12-06-2005 00:00:00		999999	999999	O	5		Y	 
ABDARE	Aberdare	01-01-1995 00:00:00		300100	203300	T	5	78100	N	 
ABDATRE	Trecynon	12-06-2005 00:00:00		999999	999999	O	5		Y	 
ABDO	Aberdour	01-01-1995 00:00:00		318948	684440	O	9	03295	N	 
ABDVY	Aberdovey	01-01-1995 00:00:00		260700	296000	O	5	64409	N	 
ABER	Aber	01-01-1995 00:00:00		314800	187000	T	5	78371	N	 
ABGLELE	Abergele & Pensarn	01-01-1995 00:00:00		294600	378700	O	6	40073	N	 
ABGNWYN	Abergynolwyn	01-01-1995 00:00:00		999999	999999	O	5		Y	 
ABHLJN	Abbeyhill Jn	01-01-1995 00:00:00		327800	673900	O	9	04309	N	 
ABHLTB	Abbeyhill Turnback Sidings	11-12-2011 00:00:00		0	0	O	9	04308	N	 
ABINCE	Abington C.E.	01-01-1995 00:00:00		293480	623400	O	9	07947	N	 
ABINDPL	Abington D.P.L.	01-01-1995 00:00:00		293490	623400	O	9	07971	N	 
ABINDS	Abington Down Sidings	01-08-2002 00:00:00		231432	523153	O	9	07948	N	 
ABINGTN	Abington	01-01-1995 00:00:00		293500	623400	O	9	07972	N	P
ABINUPL	Abington U.P.L.	01-01-1995 00:00:00		293510	623400	O	9	07970	N	 
ABNGHST	Abingdon High Street	31-10-2002 00:00:00		976589	789658	O	4		N	 
ABNGSTR	Abingdon Stratton Way	01-01-1999 00:00:00		0	0	O	4		Y	 
ABRBEG	Aberbeeg	09-12-2012 00:00:00		0	0	O	4	76639	N	 
ABRC187	Abercynon Signal A187	08-12-2013 00:00:00		0	0	O	5	78203	N	 
ABRCJN	Abercynon Junction	09-12-2012 00:00:00		0	0	O	4	78205	N	 
ABRCYNS	Abercynon	01-01-1995 00:00:00		308400	195000	O	5	78204	N	 
ABRD27	Aberdeen Sig A27	10-12-2006 00:00:00		999999	999999	O	9	02080	N	 
ABRD75	Aberdeen Signal A75	01-01-1996 00:00:00		394100	805795	O	9	02078	N	 
ABRD77	Aberdeen Signal A77	01-01-1996 00:00:00		394095	805795	O	9	02079	N	 
ABRDCH	Aberdeen Clayhills Car.M.D	01-01-1995 00:00:00		393332	804594	O	9	02075	N	 
ABRDEEN	Aberdeen	01-01-1995 00:00:00		394100	805800	T	9	02071	N	P
ABRDFDS	Aberdeen Ferryhill Dn Sdgs	12-12-2004 00:00:00		421537	456534	O	9	02083	N	 
ABRDFGL	Aberdeen Ferryhill GL	01-01-1995 00:00:00		393340	804594	O	9	02084	N	 
ABRDFJN	Aberdeen Ferryhill Jn	01-01-1996 00:00:00		393332	804550	O	9	02082	N	 
ABRDFUS	Aberdeen Ferryhill Up Sdgs	12-12-2004 00:00:00		783562	342134	O	9	02086	N	 
ABRDGBR	Aberdeen Guild Street GBRF	12-12-2004 00:00:00		432647	453245	O	9	02076	N	 
ABRDNHS	Aberdeen H.S.	01-01-1995 00:00:00		394110	805800	O	9	02077	N	 
ABRDNS	Aberdeen North Siding	12-12-2004 00:00:00		563474	352341	O	9	02067	N	 
ABRDPDK	Aberdeen Parcels Dock	27-10-2000 00:00:00		999999	999999	O	9	02069	N	 
ABRDRSL	Aberdeen Russell J.G.	21-03-2000 00:00:00		999999	999999	O	9	02074	N	 
ABRDSVC	Aberdeen Service Co	21-03-2000 00:00:00		999999	999999	O	9		N	 
ABRDWAT	Aberdeen Waterloo	01-01-1995 00:00:00		394300	809700	O	9	02061	N	 
ABRDWGB	Aberdeen Waterloo (GBRF)	01-01-1995 00:00:00		0	0	M	9	02062	N	 
ABRE	Abererch	01-01-1995 00:00:00		240300	336100	O	5	64506	N	 
ABRFRWD	Aberffrwd	01-01-1995 00:00:00		999999	999999	O	5		Y	 
ABRGPGN	Penpergwn	12-12-2004 00:00:00		543623	423142	O	5	76248	N	 
ABRGS38	Abergavenny Sig 38	11-12-2011 00:00:00		0	0	O	5	76253	N	 
ABRGUS	Abergavenny Up Sidings	09-12-2012 00:00:00		0	0	O	4	76250	N	 
ABRGVNY	Abergavenny	01-01-1995 00:00:00		330500	213600	T	5	76251	N	 
ABRPGWM	Aberpergwm	01-01-1995 00:00:00		286500	205800	O	5	79519	N	 
ABRYAFO	Afon Wen L.C.	05-05-2001 00:00:00		999999	999999	O	5	64505	N	 
ABRYRRL	Aberystwyth Run Round Loop	12-12-2004 00:00:00		457647	764356	O	5	64609	N	 
ABRYSHE	Aberystwyth Shell Sdgs	01-01-1995 00:00:00		258500	281900	O	5	64608	N	 
ABRYSNS	Aberystwyth Stn Sdgs	01-01-1995 00:00:00		258500	281700	O	5		N	 
ABRYSTH	Aberystwyth	01-01-1995 00:00:00		258500	281600	T	5	64607	N	 
ABTH	Aberthaw	01-01-1995 00:00:00		302904	167094	O	5	78903	N	 
ABTH222	Aberthaw Signal AW222	12-06-2005 00:00:00		564453	452335	O	5	78916	N	 
ABTH231	Aberthaw Signal AW231	12-06-2005 00:00:00		453346	351413	O	5	78919	N	 
ABTH433	Aberthaw Sig CF3433	22-05-2011 00:00:00		0	0	O	4	78917	N	 
ABTH440	Aberthaw Sig CF3440	09-12-2012 00:00:00		0	0	O	4	78918	N	 
ABTHA13	Aberthaw Signal A13	01-01-1995 00:00:00		302720	166450	T	5	78904	N	 
ABTHA39	Aberthaw Signal A39	01-01-1995 00:00:00		302721	166451	T	5	78900	N	 
ABTHLAF	Aberthaw Cement Works	14-06-2004 00:00:00		784895	578946	O	5	78902	N	 
ABTHOSD	Aberthaw N.P.Oil Sdg	01-01-1995 00:00:00		302675	166483	O	5	78904	N	 
ABTHPS	Aberthaw Power Station	01-01-1995 00:00:00		302720	166450	O	5	78904	N	 
ABTHPST	Aberthaw Pwr Stn Fliner Hvy Hl	01-01-1995 00:00:00		999999	999999	O	5	78908	N	 
ABTHRCP	Aberthaw Rec Sdgs	01-01-1995 00:00:00		302693	166500	O	5	78906	N	 
ABTHWCC	Aberthaw Cement Works	01-01-1995 00:00:00		302693	167676	O	5	78905	N	 
ABTSWDJ	Abbotswood Jn	01-01-1995 00:00:00		388900	250000	O	5	67371	N	 
ABWD	Abbey Wood	01-01-1995 00:00:00		547300	179100	O	3	88601	N	 
ACBG	Acton Bridge	01-01-1995 00:00:00		359900	374500	O	6	37001	N	 
ACGJN	Acton Grange Jn	01-01-1995 00:00:00		358400	385200	O	6	35555	N	 
ACGJNLX	Norton LC (Acton Grange)	12-12-2004 00:00:00		563465	432543	O	6	35588	N	 
ACHANLT	Achanalt	01-01-1995 00:00:00		222259	859779	O	9	01081	N	 
ACHERES	Acheres	01-01-1995 00:00:00		846093	127900	O	3	00752	N	 
ACHHBLC	Balnacra LC	24-09-2000 00:00:00		999999	999999	O	9	01078	N	 
ACHHSHL	Achnashellach	01-01-1995 00:00:00		205376	851512	O	9	01078	N	 
ACHILCK	Auchinleck	01-01-1995 00:00:00		256200	621300	O	9	08825	N	 
ACHLDH	Acheildh	01-03-2001 00:00:00		999999	999999	O	9	01028	N	 
ACHNGRY	Auchengray	01-02-2003 00:00:00		999999	999999	O	9	04120	N	 
ACHNSCE	Achnasheen C.E.	01-01-1995 00:00:00		216400	858510	O	9	01080	N	 
ACHNSHN	Achnasheen	01-01-1995 00:00:00		216400	858500	O	9	01079	N	 
ACKLNGT	Acklington	01-01-1995 00:00:00		422200	601500	O	7	12115	N	 
ACLE	Acle	01-01-1995 00:00:00		639900	310000	T	3	48056	N	 
ACOCKSG	Acocks Green	01-01-1995 00:00:00		412400	283500	O	5	66430	N	 
ACRNGTN	Accrington	01-01-1995 00:00:00		375700	428600	O	6	29061	N	 
ACTCWHF	Acton Canal Wharf	01-01-1995 00:00:00		521200	182800	O	5	72235	N	 
ACTNCTL	Acton Central	01-01-1995 00:00:00		520600	180300	O	3	72252	N	 
ACTNLRG	Acton Lane Rec Sdgs GBRf	11-06-2006 00:00:00		666666	666666	M	5	72209	N	 
ACTNLRS	Acton Lane Reception Sdgs	01-01-1995 00:00:00		999999	999999	T	5	72211	N	 
ACTOEWS	Acton Yard EWS	09-12-2012 00:00:00		0	0	O	4	73235	N	 
ACTOGBR	Acton Yard GBRF	11-06-2006 00:00:00		999999	999999	O	4	73248	N	 
ACTOLHS	Acton Loco Holding Sidings	11-12-2011 00:00:00		0	0	O	4	73249	N	 
ACTONFY	ACTON FOSTER YEOMAN	11-12-2011 00:00:00		0	0	O	3	30011	N	 
ACTONML	Acton Main Line	01-01-1995 00:00:00		520300	181200	O	4	73240	N	 
ACTONTC	Acton T.C.	01-01-1995 00:00:00		518500	181000	T	4	73250	N	 
ACTONW	Acton West	01-01-1995 00:00:00		518300	181000	T	4	73251	N	 
ACTRNED	Achterneed	01-03-2001 00:00:00		999999	999999	O	9	01087	N	 
ACWL105	Acton Wells Signal AW105	08-12-2013 00:00:00		0	0	O	3	72266	N	 
ACWL149	Acton Wells Jn SIG AW149	11-12-2011 00:00:00		0	0	O	3	72263	N	 
ACWL150	Acton Wells Jn SIG AW150	11-12-2011 00:00:00		0	0	O	3	72264	N	 
ACWLJN	Acton Wells Jn	01-01-1995 00:00:00		521200	182100	T	3	72251	N	B
ADERLYP	Adderley Park	01-01-1995 00:00:00		409900	287300	O	5	65614	N	 
ADIEWEL	Addiewell	01-01-1995 00:00:00		299500	662300	O	9	04090	N	 
ADISHAM	Adisham	01-01-1995 00:00:00		623400	153900	O	3	89514	N	 
ADLC	Adlington (Cheshire)	01-01-1995 00:00:00		391200	380300	O	6	32575	N	 
ADLESTJ	Addlestone Jn	01-01-1995 00:00:00		506500	163600	O	3	86010	N	 
ADLESTN	Addlestone	01-01-1995 00:00:00		505600	164900	O	3	86011	N	 
ADNL	Adlington (Lancashire)	01-01-1995 00:00:00		360200	413100	O	6	30321	N	 
ADSWDRD	Adswood Road Jn	01-01-1995 00:00:00		388518	387577	O	6	32561	N	 
ADWICK	Adwick	01-01-1995 00:00:00		453537	409259	O	7	23118	N	 
ADWICKJ	Adwick Jn	01-01-1995 00:00:00		453400	409500	T	7	23120	N	 
AGCRFTJ	Agecroft Jn	01-01-1995 00:00:00		380500	401500	O	6	31564	N	 
AGHTNPH	Aughton Park	01-01-1995 00:00:00		340800	406800	O	6	36005	N	 
AIGBURT	Aigburth	01-01-1995 00:00:00		338400	385700	O	6	36086	N	 
AINSDAL	Ainsdale	01-01-1995 00:00:00		331100	412200	T	6	36062	N	 
AINT206	Aintree Signal 1206	12-12-2010 00:00:00		0	0	O	6	36026	N	 
AINTREE	Aintree	01-01-1995 00:00:00		336600	397900	O	6	36027	N	 
AINTSFJ	Aintree Sefton Jn	01-01-1995 00:00:00		336000	397400	O	6	36027	N	 
AIRBLES	Airbles	01-01-1995 00:00:00		275000	656100	O	9	07476	N	 
AIRD754	Airdrie Signal YS754	11-06-2006 00:00:00		666666	666666	O	9	07325	N	 
AIRDCS	Airdrie Carriage Sdg.	01-01-1995 00:00:00		276094	664976	O	9	07326	N	B
AIRDRIE	Airdrie	01-01-1995 00:00:00		276100	665200	T	9	07327	N	B
AIRP	Airport (Newcastle)	30-09-2001 00:00:00		999999	999999	O	7	12401	N	 
AISGILL	Ais Gill	01-01-1995 00:00:00		377728	497168	O	6	09438	N	 
AISHXO	Aish Emergency Crossover	12-12-2004 00:00:00		643643	212314	O	4	84060	N	 
ALBION	Albion Gulf Oil Depot	01-01-1995 00:00:00		398300	290900	O	5	65813	N	 
ALBNFCL	Albany Park-Footscray Lane	03-11-1999 00:00:00		999999	999999	O	3		N	 
ALBNHV	Albany Park-Hrst Rd/Val Av	03-11-1999 00:00:00		999999	999999	O	3		N	 
ALBNYPK	Albany Park	01-01-1995 00:00:00		547900	172900	O	3	88462	N	 
ALBRGHT	Albrighton	01-01-1995 00:00:00		381900	304500	O	5	65033	N	 
ALDB337	Aldersbrook Signal 337/354	01-01-1995 00:00:00		999999	999999	O	3	50430	N	 
ALDBUCS	Aldersbrook CS	01-01-1995 00:00:00		542782	185995	O	3	50430	N	 
ALDEDGE	Alderley Edge	01-01-1995 00:00:00		384300	378600	T	6	32581	N	 
ALDGEST	Aldgate East LT	01-01-1999 00:00:00		0	0	O	3	87123	N	 
ALDGTLT	London Aldgate	01-01-1995 00:00:00		999999	999999	O	3		N	 
ALDMCE	Aldermaston Tip (CE)	12-12-2004 00:00:00		654747	634463	O	4	74713	N	 
ALDMSPS	Aldermaston Padworth Sdgs	01-01-1995 00:00:00		460050	167500	O	4	74712	N	 
ALDMSTN	Aldermaston	01-01-1995 00:00:00		460100	167400	O	4	74714	N	 
ALDR371	Aldershot Signal WK1371	08-12-2013 00:00:00		0	0	O	3	87038	N	 
ALDR378	Aldershot Signal WK1378	08-12-2013 00:00:00		0	0	O	3	87039	N	 
ALDRSHT	Aldershot	01-01-1995 00:00:00		486600	150400	T	3	87031	N	 
ALDRSJN	Aldershot North Jn	01-01-1995 00:00:00		488500	151900	O	3	87037	N	 
ALDRSJS	Aldershot South Jn	01-01-1995 00:00:00		489200	151800	O	3	87013	N	 
ALDTON	Aldrington	01-01-1995 00:00:00		528100	105700	O	3	87985	N	 
ALDW109	Sheffield SIG S.1092	01-01-1995 00:00:00		999999	999999	O	7	24503	N	 
ALDW721	Roundwood Chord Sig S721	01-01-1995 00:00:00		999999	999999	O	7	24701	N	 
ALDW738	Aldwarke Junction Sig S738	01-01-1995 00:00:00		999999	999999	O	7	24500	N	 
ALDWGBF	Aldwgbf	11-12-2011 00:00:00		0	0	O	7	24499	N	 
ALDWNWS	Aldwarke U.E.S.	01-01-1995 00:00:00		439876	392447	O	7	24501	N	B
ALDWRKJ	Aldwarke Jn	01-01-1995 00:00:00		444700	395400	O	7	24701	N	 
ALDWRML	Roundwood B.S.C. 11' Mill	01-01-1995 00:00:00		440780	391692	O	7	24405	N	 
ALDWRS	Aldwarke Repair Sidings	01-01-1995 00:00:00		440780	391792	O	7	24502	N	 
ALERTN	Liverpool South PW HL	01-01-1995 00:00:00		340900	385000	O	6	36192	N	 
ALERTN4	Alerton Signal AN4	08-12-2013 00:00:00		0	0	O	6	36196	N	 
ALERTNJ	Allerton Jn	01-01-1995 00:00:00		341200	384700	O	6	36195	N	 
ALERTNS	Allerton Depot	01-01-1995 00:00:00		340900	385100	O	6	36191	N	 
ALEXNDP	Alexandra Palace	01-01-1995 00:00:00		530300	190500	T	8	54103	N	 
ALEXPSS	Alexandra Palace Sand Sdg	16-04-1999 00:00:00		999999	999999	O	8	54103	N	 
ALFREMD	E Mids Designer Outlet	08-12-2013 00:00:00		0	0	O	8		N	 
ALFRETN	Alfreton	01-01-1995 00:00:00		442200	356200	M	8	56127	N	 
ALLENSW	Allens West	01-01-1995 00:00:00		441300	514600	O	7	15702	N	 
ALLEURL	Urlay Nook Crossover	08-09-1998 00:00:00		999999	999999	O	7	15705	N	 
ALLGARC	Allington A.R.C. Sdg.	01-01-1995 00:00:00		574550	157850	O	3	89312	N	 
ALLGREV	Allington A.R.C Reverse	01-01-1999 00:00:00		0	0	O	3	89314	N	 
ALLOA	Alloa	10-12-2006 00:00:00		999999	999999	T	9	03375	N	 
ALLOALP	Alloa Loop	14-08-2006 00:00:00		111111	222222	O	9	03373	N	 
ALMNUES	Alnmouth Up Engineers Sidings	08-12-2013 00:00:00		0	0	O	7	12125	N	 
ALNESS	Alness	01-01-1995 00:00:00		267604	866006	O	9	01058	N	 
ALNGEJN	Allington East Jn	12-12-2004 00:00:00		734763	342452	T	8	44505	N	 
ALNGJN	Allington Jn	01-01-1995 00:00:00		487300	338100	M	8	44509	N	 
ALNGNJN	Allington North Jn	12-12-2004 00:00:00		543453	634634	T	8	44507	N	 
ALNMILL	Little Mill LC	01-01-1997 00:00:00		999999	999999	M	7	12111	N	 
ALNMOTH	Alnmouth	01-01-1995 00:00:00		423100	611100	T	7	12112	N	 
ALRESFD	Alresford (Essex)	01-01-1995 00:00:00		606500	221500	O	3	50027	N	 
ALRSBUS	Alresford (Swan)	02-06-2002 00:00:00		999999	999999	O	3		N	 
ALRSFRD	Alresford (Hants)	01-01-1995 00:00:00		999999	999999	O	3	87018	N	 
ALRWAS	Alrewas L.C.	01-01-1995 00:00:00		416000	312435	M	5	66040	N	 
ALSAEJN	Alsager East Jn	01-01-1995 00:00:00		380885	355000	O	5	42412	N	 
ALSAGER	Alsager	01-01-1995 00:00:00		380100	355100	M	5	42412	N	 
ALSAUDG	Alsager Up & Dn Gds Loop	01-01-1995 00:00:00		380100	355000	O	5	42413	N	 
ALSCGF	Allscott GF	13-11-1998 00:00:00		999999	999999	O	5	64705	N	 
ALSCTSW	Allscott Sdgs	01-01-1995 00:00:00		360500	312400	T	5	64704	N	 
ALSCUPT	Upton Magna	05-05-2001 00:00:00		999999	999999	O	5	64703	N	 
ALSHAM	Aylesham	01-01-1995 00:00:00		624200	152500	O	3	89515	N	 
ALSTONS	Alstone C.H.S.	01-01-1995 00:00:00		392816	222159	O	5	68077	N	 
ALTFTJN	Altofts Jn	01-01-1995 00:00:00		438800	424000	O	7	17196	N	 
ALTHORN	Althorne	01-01-1995 00:00:00		590500	197900	O	3	50305	N	 
ALTNBRC	Altnabreac	01-01-1995 00:00:00		300400	945700	O	9	01010	N	 
ALTNCCE	Altnabreac C.E.	01-01-1995 00:00:00		300410	945700	O	9	01011	N	 
ALTOBUS	Alton (High Street)	02-06-2002 00:00:00		999999	999999	O	3		N	 
ALTON	Alton	01-01-1995 00:00:00		472300	139600	T	3	87021	N	 
ALTPE	Althorpe	01-01-1995 00:00:00		483900	410600	O	7	22075	N	 
ALTPKC	Keadby Canal	09-12-2012 00:00:00		0	0	O	7	22085	N	 
ALTRNHM	Altrincham	01-01-1995 00:00:00		377000	387900	O	6	37225	N	 
ALTT	Alton Towers	12-12-2004 00:00:00		864747	432452	O	5		N	 
ALVCHRC	Alvechurch	01-01-1995 00:00:00		402300	272000	O	5	66527	N	 
ALVCRLP	Alvechurch Red Lion Pub	12-06-2005 00:00:00		743232	732212	O	5		N	 
ALVES	Alves Jn	01-01-1995 00:00:00		316915	852156	O	9	02004	N	 
ALXANDR	Alexandria	01-01-1995 00:00:00		239300	679900	O	9	06123	N	 
ALXNJTC	Alexandra Dock Jn. T.C.	01-01-1995 00:00:00		330200	186400	O	5	76470	N	 
ALXNUDG	Alexandra Docks UDG	01-01-1999 00:00:00		0	0	T	5	76469	Y	 
ALXPD	Alexandra Parade	01-01-1995 00:00:00		261700	665600	O	9	06525	N	 
AMBERGJ	Ambergate Jn	01-01-1995 00:00:00		435261	351063	M	8	57110	N	 
AMBERGT	Ambergate	01-01-1995 00:00:00		434900	351700	M	8	57013	N	 
AMBEWIN	Wingfield	05-05-2001 00:00:00		999999	999999	O	5	57001	N	 
AMBRIEU	Amberieu	01-01-1995 00:00:00		846093	127800	O	3	00780	N	 
AMERMWD	Mantles Wood	01-01-1995 00:00:00		496400	198000	M	5	70362	N	 
AMERSHM	Amersham	01-01-1995 00:00:00		496400	198100	T	5	70361	N	 
AMIENS	Amiens	01-01-1995 00:00:00		847178	129872	O	3		N	 
AMLWCH	Amlwch	01-01-1995 00:00:00		244500	393600	O	6	40021	N	 
AMLWOCT	Amlwch Assoctd Octel Sdg	01-01-1995 00:00:00		244500	393500	O	6	40021	N	 
AMLY	Amberley	01-01-1995 00:00:00		502600	111800	O	3	87957	N	 
AMMANFD	Ammanford	01-01-1995 00:00:00		262400	212600	O	5	79064	N	 
AMNG294	AMINGTON JN SIG NL1294	12-12-2010 00:00:00		0	0	O	5	68996	N	 
AMNG459	AMINGTON JN SIG NL9459	12-12-2010 00:00:00		0	0	O	5	68997	N	 
AMNG462	AMINGTON JN SIG NL9462	12-12-2010 00:00:00		0	0	O	5	68998	N	 
AMNG485	Amington Jn Sig NL5485	09-12-2012 00:00:00		421631	304479	O	5	68994	N	 
AMNG487	AMINGTON JN SIG NL3487	12-12-2010 00:00:00		0	0	O	5	68999	N	 
AMNG488	Amington Jn Sig NL5488	09-12-2012 00:00:00		421631	304479	O	5	13230	N	 
AMNG490	AMINGTON JN SIG NL3490	12-12-2010 00:00:00		0	0	O	5	69002	N	 
AMNGTNJ	Amington Jn	12-06-2005 00:00:00		472967	873846	O	5	69003	N	 
AMPFLD	Ampfield (School)	25-09-1999 00:00:00		999999	999999	O	3		N	 
AMPTNLS	Ampthill Tunnels	12-12-2004 00:00:00		743465	123342	O	8	62200	N	 
AMSTDAM	Amsterdam Cs	01-01-1995 00:00:00		847992	132000	O	3	00950	N	 
AMSTSCH	Amsterdam Schiphol	01-01-1995 00:00:00		847992	132100	O	3	00937	N	 
ANAT	Annat	01-01-1995 00:00:00		206700	776900	O	9	06011	N	 
ANCAHON	Honington	24-09-2000 00:00:00		999999	999999	O	8	44102	N	 
ANCASTR	Ancaster	01-01-1995 00:00:00		498400	344400	O	8	44101	N	 
ANDO202	Andover Shunt Signal BE5202	01-01-1999 00:00:00		0	0	T	3	86054	N	 
ANDOKMR	Andover Sidings	30-05-1999 00:00:00		999999	999999	O	3	86073	N	 
ANDOLSB	Ludgershall Branch Stop Board	12-12-2010 00:00:00		0	0	O	3	86133	N	 
ANDOVER	Andover	01-01-1995 00:00:00		435600	145900	T	3	86074	N	 
ANDOYD	ANDOVER YARD	23-05-2010 00:00:00		0	0	O	3	86072	N	 
ANDRSTN	Anderston	01-01-1995 00:00:00		258100	665200	O	9	07253	N	 
ANERLEY	Anerley	01-01-1995 00:00:00		534600	169900	O	3	87644	N	 
ANGELRD	Angel Road	01-01-1995 00:00:00		535100	192200	O	3	51924	N	 
ANGMRNG	Angmering	01-01-1995 00:00:00		506500	103000	O	3	87998	N	 
ANGOLEM	Angouleme	19-05-2001 00:00:00		999999	999999	O	3		N	 
ANGRFHH	Angerstein Wharf FLHH	01-01-1995 00:00:00		555555	555555	M	3	88507	N	 
ANGRGBR	Angerstein Wharf (GBRf)	18-05-2014 00:00:00		0	0	O	3	88521	N	 
ANGRMAR	Angerstein Wharf - Marcon	02-06-2002 00:00:00		999999	999999	O	3	88505	N	 
ANGRSTJ	Angerstein Jn	01-01-1995 00:00:00		540600	178100	O	3	88510	N	 
ANGRSTW	Angerstein Wharf	01-01-1995 00:00:00		540626	178671	T	3	88501	N	 
ANGRTAR	Angerstein Wharf (Tarmac)	01-01-1995 00:00:00		540626	178671	O	3	88502	N	 
ANNADRS	Annan DRS ISU	21-03-2000 00:00:00		999999	999999	O	9	09032	N	 
ANNAN	Annan	01-01-1995 00:00:00		319300	566200	O	9	09033	N	 
ANNBANK	Annbank	01-01-1995 00:00:00		240400	624800	O	9	08606	N	 
ANSDELL	Ansdell & Fairhaven	01-01-1995 00:00:00		334500	427700	O	6	30037	N	 
ANSL	Anniesland	01-01-1995 00:00:00		254900	668800	O	9	06222	N	 
ANSL3	Anniesland Platform 3	12-12-2004 00:00:00		865859	312525	O	9	06222	N	 
ANSTYXR	Ansty Cross Roads	30-05-1999 00:00:00		999999	999999	O	3		N	 
APBY	Appleby	01-01-1995 00:00:00		368700	520700	O	6	09426	N	 
APBYNE	Appleby North East Sidings	01-01-1995 00:00:00		368700	520700	O	6	09427	N	 
APDR	Appledore (Kent)	01-01-1995 00:00:00		597500	129800	T	3	89432	N	 
APERLYJ	Apperley Jn	01-01-1995 00:00:00		420200	438200	T	7	17053	N	 
APLHRSJ	Applehurst Jn	01-01-1995 00:00:00		458700	409900	O	7	23102	N	 
APLYBDG	Appley Bridge	01-01-1995 00:00:00		351842	408811	O	6	35050	N	 
APLYBGW	Appley Bridge Wimpey	01-01-1995 00:00:00		351842	408911	O	6	35051	N	 
APPLEFD	Appleford	01-01-1995 00:00:00		452500	193600	O	4	74340	N	 
APPLEFS	Appleford Sidings	01-01-1995 00:00:00		452450	193700	O	4	74341	N	 
APPLEFX	Appleford L.C.	01-01-1995 00:00:00		452500	193650	O	4	74340	N	 
APPLEGB	Appleford SDGS (GBRf)	12-12-2010 00:00:00		0	0	O	3	74338	N	 
APPLFHH	Appleford FHH	12-12-2004 00:00:00		636347	543634	M	4	74342	N	 
APSLEY	Apsley	01-01-1995 00:00:00		506200	204900	O	5	71023	N	 
ARAS	Arras	01-01-1995 00:00:00		846093	127700	O	3	00743	N	 
ARBRCVR	Arbroath Crossover	01-01-2003 00:00:00		999999	999999	O	9	03026	Y	 
ARBROTH	Arbroath	01-01-1995 00:00:00		363900	741000	O	9	03023	N	 
ARBRURS	Arbroath U.R.S.	01-01-1995 00:00:00		363900	741100	O	9	03024	N	 
ARCHAME	Arrochar & Tarbet URS AMEC	10-12-2006 00:00:00		999999	999999	O	9	06107	N	 
ARCHRAT	Arrochar & Tarbet	01-01-1995 00:00:00		231200	704600	O	9	06101	N	 
ARCHRCE	Arrochar & Tarbert C.E.	01-01-1995 00:00:00		231200	704200	O	9	06102	N	 
ARDEGH	Ardleigh	01-01-1995 00:00:00		999999	999999	T	3	49295	N	 
ARDGAY	Ardgay	01-01-1995 00:00:00		260000	890400	O	9	01041	N	 
ARDGAYC	Ardgay C.E.	01-01-1995 00:00:00		259950	890200	O	9	01042	N	 
ARDLUCE	Ardlui C.E.	01-01-1995 00:00:00		231900	715400	O	9	06060	N	 
ARDLUI	Ardlui	01-01-1995 00:00:00		231700	715400	O	9	06059	N	 
ARDNFHH	Ardingly Hanson Aggregates	23-05-2004 00:00:00		969689	231412	M	3	87964	N	 
ARDNGLY	Ardingly	01-01-1995 00:00:00		534300	127800	O	3	87965	N	 
ARDRSDS	Ardrossan E.M.U. Sdg	01-01-1995 00:00:00		223850	642300	O	9	08200	N	 
ARDRSHB	Ardrossan Harbour	01-01-1995 00:00:00		222400	642200	T	9	08208	N	B
ARDRSSB	Ardrossan South Beach	01-01-1995 00:00:00		223900	642100	T	9	08198	N	B
ARDRSTN	Ardrossan Town	01-01-1995 00:00:00		223400	642100	O	9	08204	N	B
ARDWCK	Ardwck	09-12-2012 00:00:00		0	0	O	6		N	 
ARDWCKJ	Ardwick Jn	01-01-1995 00:00:00		385583	397348	O	6	32009	N	 
ARDWICK	Ardwick	01-01-1995 00:00:00		385900	397200	O	6	32045	N	 
ARDWKEJ	Ardwick East Jn	01-01-1995 00:00:00		385800	397200	O	6	32009	N	 
ARDWKEY	Ardwick East Yard	01-01-1995 00:00:00		385800	397100	O	6	32042	N	 
ARDWTMD	Ardwick T.M.D.	12-06-2005 00:00:00		1	1	O	6	32043	N	 
ARGYLST	Argyle Street	01-01-1995 00:00:00		259200	665000	O	9	07259	N	 
ARISAIG	Arisaig	01-01-1995 00:00:00		167100	789500	O	9	06004	N	 
ARISCE	Arisaig C.E.	01-01-1995 00:00:00		167200	789500	O	9	06003	N	 
ARKLSTE	ARKLESTON EAST 	22-05-2011 00:00:00		0	0	O	9	07149	N	 
ARKLSTJ	Arkleston Jn	01-01-1995 00:00:00		248600	664400	O	9	07147	N	B
ARKLSTW	ARKLESTON WEST	22-05-2011 00:00:00		0	0	O	9	07148	N	 
ARKS814	Arksey Signal D814	08-12-2013 00:00:00		0	0	O	7	23226	N	 
ARKS815	Arksey Signal D815	08-12-2013 00:00:00		0	0	O	7	23227	N	 
ARKSEYL	Arksey Loop	01-01-1995 00:00:00		457700	407500	O	7	23225	N	 
ARKW	Arklow	01-01-1995 00:00:00		10000	500800	O	6		N	 
ARLEY	Arley	01-01-1995 00:00:00		999999	999999	O	5		Y	 
ARLON	Arlon	01-01-1995 00:00:00		847178	129672	O	3	00865	N	 
ARLSCAD	Cadwell	24-09-2000 00:00:00		999999	999999	O	8	53205	N	 
ARLSEY	Arlesey	01-01-1995 00:00:00		519000	237500	O	8	53201	N	 
ARMADLE	Armadle (Skye)	11-12-2012 00:00:00		0	0	O	9		N	 
